20   0.326     0.645   0.000 0.000 0.000 0.000 0.622 0.457  1.153 0.000
21   0.322     0.642   0.000 0.000 0.000 0.000 0.672 0.495  1.201 0.000
22   0.318     0.637   0.314 0.485 0.000 1.107 0.715 0.527  1.242 0.000
23   0.314     0.631   0.332 0.510 0.000 1.131 0.751 0.554  1.276 0.000
24   0.311     0.624   0.348 0.529 0.000 1.153 0.781 0.576  1.304 0.000
25   0.309     0.615   0.360 0.544 0.000 1.172 0.805 0.594  1.325 0.000
26   0.307     0.606   0.369 0.553 0.000 1.188 0.821 0.606  1.339 0.000
27   0.305     0.596   0.375 0.557 0.000 1.201 0.831 0.613  1.347 0.000
28   0.303     0.584   0.378 0.557 0.000 1.210 0.834 0.615  1.348 0.000
29   0.302     0.573   0.377 0.551 0.000 1.215 0.831 0.613  1.342 0.000
30   0.301     0.560   0.374 0.540 0.000 1.215 0.821 0.605  1.330 0.000
31   0.243     0.547   0.367 0.524 0.000 1.211 0.804 0.592  1.311 0.000
32   0.248     0.534   0.357 0.503 0.000 1.200 0.781 0.574  1.285 0.000
33   0.252     0.521   0.344 0.478 0.000 1.184 0.474 0.552  1.253 0.000
34   0.257     0.508   0.328 0.447 0.000 1.162 0.458 0.524  0.722 0.000
35   0.262     0.495   0.308 0.411 0.000 1.132 0.443 0.491  0.713 0.000
36   0.266     0.481   0.090 0.370 0.000 0.494 0.428 0.293  0.705 0.000
37   0.270     0.469   0.089 0.324 0.000 0.502 0.413 0.289  0.698 0.000
38   0.274     0.456   0.089 0.273 0.000 0.511 0.399 0.284  0.692 0.000
39   0.278     0.445   0.088 0.216 0.000 0.519 0.384 0.280  0.687 0.000
40   0.282     0.433   0.087 0.155 0.035 0.528 0.371 0.275  0.683 0.000
41   0.286     0.423   0.086 0.141 0.041 0.536 0.357 0.271  0.679 0.000
42   0.290     0.414   0.086 0.139 0.047 0.544 0.344 0.266  0.676 0.000
43   0.293     0.405   0.085 0.138 0.053 0.552 0.331 0.262  0.674 0.000
44   0.296     0.398   0.084 0.137 0.059 0.560 0.318 0.258  0.672 0.000
45   0.299     0.392   0.084 0.136 0.065 0.568 0.306 0.253  0.671 0.000
46   0.302     0.387   0.083 0.135 0.071 0.575 0.294 0.249  0.671 0.000
47   0.305     0.384   0.083 0.134 0.077 0.583 0.282 0.244  0.672 0.000
48   0.308     0.382   0.082 0.133 0.083 0.590 0.271 0.240  0.673 0.000
49   0.311     0.383   0.081 0.132 0.089 0.598 0.259 0.235  0.674 0.000
50   0.313     0.477   0.081 0.131 0.015 0.605 0.249 0.231  0.676 0.000
51   0.315     0.477   0.080 0.130 0.019 0.612 0.238 0.226  0.678 0.000
52   0.318     0.478   0.080 0.129 0.022 0.618 0.228 0.222  0.681 0.000
