3-Li  1.0 0.0 0.0 0.0 0.0 0.0
4-Be  1.0 0.0 0.0 0.0 0.0 0.0
5-B   1.0 0.0 0.0 0.0 0.0 0.0
6-C   1.0 0.0 0.0 0.0 0.0 0.0
7-N   1.0 0.0 0.0 0.0 0.0 0.0
8-O   1.0 0.0 0.0 0.0 0.0 0.0
9-F   1.0 0.0 0.0 0.0 0.0 0.0
10-Ne 1.0 0.0 0.0 0.0 0.0 0.0
11-Na 1.0 0.0 0.0 0.0 0.0 0.0
12-Mg 0.987  0.0 0.0 0.013 0.0 0.0
13-Al 0.980  0.653 0.327 0.020 0.0 0.0
14-Si 0.973  0.649 0.324 0.027 0.0 0.0
15-P  0.959  0.639 0.320 0.042 0.0 0.0
16-S  0.944  0.629 0.315 0.056 0.0 0.0
17-Cl 0.924  0.616 0.308 0.076 0.0 0.0
18-Ar 0.905  0.603 0.302 0.095 0.0 0.0
19-K  0.894  0.596 0.298 0.106 0.0 0.0
20-Ca 0.887  0.591 0.296 0.113 0.0 0.0
21-Sc 0.885  0.589 0.296 0.115 0.0 0.0
22-Ti 0.882  0.587 0.295 0.118 0.0 0.0
23-V  0.882  0.587 0.295 0.118 0.0 0.0
24-Cr 0.881  0.586 0.295 0.118 0.0 0.0
25-Mn 0.881  0.586 0.295 0.118 0.0 0.0
26-Fe 0.881  0.586 0.295 0.118 0.0 0.0
27-Co 0.881  0.586 0.295 0.118 0.0 0.0
28-Ni 0.881  0.586 0.295 0.118 0.0 0.0
29-Cu 0.879  0.583 0.296 0.120 0.0 0.0
30-Zn 0.878  0.581 0.297 0.122 0.0 0.0
31-Ga 0.875  0.578 0.297 0.125 0.0 0.0
32-Ge 0.872  0.576 0.296 0.128 0.0 0.0
33-As 0.686  0.573 0.295 0.132 0.0 0.0
34-Se 0.864  0.570 0.294 0.136 0.0 0.0
35-Br 0.859  0.566 0.293 0.136 0.0 0.0
36-Kr 0.853  0.562 0.291 0.136 0.0 0.011
37-Rb 0.851  0.560 0.291 0.136 0.0 0.014
38-Sr 0.848  0.558 0.290 0.135 0.0 0.017
39-Y  0.845  0.555 0.290 0.137 0.0 0.018
40-Zr 0.841  0.552 0.289 0.139 0.0 0.020
41-Nb 0.839  0.550 0.289 0.140 0.0 0.021
42-Mo 0.836  0.548 0.288 0.142 0.0 0.022
43-Tc 0.834  0.546 0.288 0.143 0.0 0.023
44-Ru 0.825  0.544 0.281 0.145 0.0 0.024
45-Rh 0.830  0.543 0.287 0.146 0.0 0.025
46-Pd 0.827  0.541 0.286 0.147 0.0 0.026
47-Ag 0.826  0.540 0.286 0.147 0.0 0.027
48-Cd 0.824  0.538 0.286 0.097 0.051 0.028
49-In 0.822  0.536 0.286 0.098 0.051 0.029
50-Sn 0.819  0.534 0.285 0.100 0.052 0.029
51-Sb 0.818  0.533 0.285 0.100 0.052 0.030
52-Te 0.816  0.531 0.285 0.101 0.052 0.031
