 3-Li 240 - -        -        -         -
 4-Be 113 - -        -        -         -
 S-B 67 - -        -        -         -
 6-C 44 - -        -        -         -
 7-N 31.603 - -        -        -         -
 8-0 23.707 - -        -        -         -
 9-F 18.307 - -        -        -         -
 10-Ne 14.615 - - 14.460    -         -
 11-Na 11.909 - - 11.617    -         -
 12-Mg 9.889 - - 9.558     -         -
 13-Al 8.339 8.338 8.341 7.981     -         -
 14-Si 7.126 7.125 7.127 6.769     -         -
 15-P 6.155 6.154 6.157 5.804     -         -
 16-S 5.373 5.372 5.375 5.032     -         -
 17-Cl 4.729 4.728 4.731 4.403     -         -
 18-Ar 4.192 4.191 4.194 3.886     -         -
 19-K 3.744 3.742 3.745 3.454     -         -
 20-Ca 3.360 3.359 3.362 3.090     -         -
 21-Sc 3.032 3.031 3.034 2.780     -         -
 22-Ti 2.750 2.749 2.753 2.514   2.514       -
 23-V 2.505 2.503 2.507 2.285   2.285       -
 24-Cr 2.291 2.290 2.294 2.085   2.085       -
 25-Mn 2.103 2.102 2.105 1.910     -         -
 26-Fe 1.937 1.936 1.940 1.757     -         -
 27-Co 1.791 1.789 1.793 1.621     -         -
 28-Ni 1.659 1.658 1.661 1.500   - 1.489
 29-Cu 1.542 1.540 1.544 1.392 1.393 1.381
 30-Zn 1.437 1.435 1.439 1.296   - 1.284
 31-Ga 1.341 1.340 1.344 1.207 1.208 1.196
 32-Ge 1.256 1.255 1.258 1.129 1.129 1.117
 33-As 1.177 1.175 1.179 1.057 1.058 1.045
        34-Se   1.106   1.105   1.109   0.992   0.993   0.980
        35-Br   1.041   1.040   1.044   0.933   0.933   0.921
        36-Kr   0.981   0.980   0.984   0.879   0.879   0.866
        37-Rb   0.927   0.926   0.930   0.829   0.830   0.817
        38-Sr   0.877   0.875   0.880   0.783   0.784   0.771
        39-Y    0.831   0.829   0.833   0.740   0.741   0.728
        40-Zr   0.788   0.786   0.791   0.701   0.702   0.690
        41-Nb   0.748   0.747   0.751   0.665   0.666   0.654
        42-Mo   0.710   0.709   0.713   0.632   0.633   0.621
        43-Tc   0.674   0.673   0.676   0.601   0.602   0.590
        44-Ru   0.644   0.643   0.647   0.572   0.573   0.562
        45-Rh   0.614   0.613   0.617   0.546   0.546   0.535
        46-Pd   0.587   0.585   0.590   0.521   0.521   0.510
        47-Ag   0.561   0.559   0.564   0.497   0.498   0.487
        48-Cd   0.536   0.535   0.539   0.475   0.476   0.465
        49-In   0.514   0.512   0.517   0.455   0.455   0.445
        50-Sn   0.492   0.491   0.495   0.435   0.436   0.426
        51-Sb   0.472   0.470   0.475   0.417   0.418   0.408
        52-Te   0.453   0.451   0.456   0.400   0.401   0.391
        53-1    0.435   0.433   0.438   0.384   0.385   0.376
        54-Xe   0.418   0.416   0.421   0.369     -     0.360
        55-Cs   0.402   0.401   0.405   0.355   0.355   0.346
        56-Ba   0.387   0.385   0.390   0.341   0.342   0.333
        57-La   0.373   0.371   0.376   0.328   0.329   0.320
        58-Ce   0.359   0.357   0.362   0.316   0.317   0.309
        59-Pr   0.346   0.344   0.349   0.305   0.305   0.297
        60-Nd   0.334   0.332   0.337   0.294   0.294   0.287
        61-Pm   0.322   0.321   0.325   0.283   0.284   0.276
        62-Sm   0.311   0.309   0.314   0.274   0.274   0.267
        63-Eu   0.301   0.299   0.304   0.264   0.265   0.258
        64-Gd   0.291   0.289   0.294   0.255   0.256   0.249
        65-Tb   0.281   0.279   0.284   0.246   0.246   0.239
        66-Dy   0.272   0.270   0.275   0.237   0.238   0.231
        67-Ho   0.263   0.261   0.266   0.230   0.231   0.224
        68-Er   0.255   0.253   0.258   0.222   0.223   0.217
        69-Tm   0.246   0.244   0.250   0.215   0.216   0.210
 70-Yb 0.238 0.236 0.241 0.208 0.209 0.203
 71-Lu 0.231 0.229 0.234 0.202 0.203 0.197
 72-Hf 0.224 0.222 0.227 0.195 0.196 0.190
        73-Ta    0.217   0.215  0.220   0.190   0.191    0.185  
 74-W 0.211 0.209 0.213 0.184 0.185 0.179
 75-Re 0.204 0.202 0.2Q7 0.179 0.179 0.174
 76-Os 0.198 0.196 0.201 0.173 0.174 0.169
 77-Ir 0.193 0.191 0.196 0.168 0.169 0.164
 78-Pt 0.187 0.185 0.190 0.163 0.164 0.159
 79-Au 0.182 0.180 0.185 0.159 0.160 0.155
 80-Hg 0.177 0.175 0.180 0.154 0.155 0.150
 81-Tl   0.172 0.170 0.175 0.150 0.151 0.146
 82-Pb 0.167 0.165 0.170 0.146 0.147 0.142
 83-Bi 0.162 0.161 0.165 0.142 0.143 0.138
 84-Po 0.158 0.156 0.161 0.138 0.139 0.134
 85-At 0.154 0.152 0.157 0.134 0.135 0.131
 86-Rn 0.150 0.148 0.153 0.131 0.132 0.127
 87-Fr 0.146 0.144 0.149 0.127 0.128 0.124
 88-Ra 0.142 0.140 0.145 0.124 0.125 0.120
 89-Ac 0.138 0.136 0.141 0.121 0.121 0.117
 90-Th 0.135 0.133 0.138 0.117 0.118 0.114
 91-Pa 0.131 0.129 0.134 0.114 0.115 0.111
 92-U  0.128 0.126 0.131 0.111 0.112 0.108
 93-Np 0.125 0.123 0.128 0.109  -  0.105
 94-Pu 0.122 0.120 0.125 0.106  -  0.103
 95-Am 0.119 0.117 0.122 0.103  -  0.100
 96-Cm 0.116 0.114 0.119 0.101  0   0.098
 97-Bk 0.113 0.111 0.116 0.098 0  0.095
 98-Cf 0.110 0.108 0.113 0.097 0    0.093
