20-Ca 0.328 0.655 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
21-Sc 0.324 0.647 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
22-Ti 0.319 0.639 0.314 0.471 0.000 1.057 0.672 0.509 1.220 0.000
23-V  0.315 0.631 0.335 0.503 0.000 1.089 0.820 0.558 1.280 0.000
24-Cr 0.319 0.638 0.397 0.596 0.000 1.123 0.834 0.612 1.342 0.000
25-Mn 0.312 0.623 0.357 0.538 0.000 1.108 0.797 0.589 1.317 0.000
26-Fe 0.311 0.621 0.371 0.556 0.000 1.116 0.815 0.600 1.329 0.000
27-Co 0.308 0.616 0.376 0.564 0.000 1.120 0.817 0.602 1.335 0.000
28-Ni 0.307 0.614 0.381 0.566 0.000 1.122 0.827 0.609 1.341 0.000
29-Cu 0.304 0.608 0.406 0.610 0.000 1.133 0.850 0.623 1.360 0.000
30-Zn 0.283 0.566 0.374 0.561 0.000 1.107 0.811 0.597 1.320 0.000
31-Ga 0.266 0.544 0.324 0.485 0.000 1.096 0.799 0.589 1.306 0.000
32-Ge 0.249 0.522 0.273 0.409 0.000 1.085 0.786 0.580 1.292 0.000
33-As 0.255 0.528 0.227 0.338 0.000 1.044 0.716 0.531 1.229 0.000 
34-Se 0.260 0.533 0.180 0.267 0.000 1.003 0.644 0.479 1.156 0.000
35-Br 0.265 0.537 0.130 0.197 0.000 0.960 0.591 0.427 1.093 0.000
36-Kr 0.270 0.540 0.086 0.127 0.000 0.919 0.516 0.395 1.039 0.000
37-Rb 0.272 0.524 0.091 0.136 0.000 0.837 0.464 0.359 0.949 0.000
38-Sr 0.274 0.508 0.097 0.145 0.000 0.755 0.412 0.323 0.858 0.000
39-Y  0.276 0.492 0.102 0.154 0.000 0.673 0.360 0.287 0.767 0.000
40-Zr 0.278 0.475 0.108 0.163 0.032 0.591 0.309 0.252 0.677 0.000
41-Nb 0.285 0.470 0.098 0.154 0.041 0.581 0.303 0.248 0.676 0.000
42-Mo 0.292 0.466 0.087 0.144 0.049 0.571 0.296 0.244 0.675 0.000
43-Tc 0.296 0.461 0.076 0.134 0.058 0.561 0.289 0.240 0.673 0.000
44-Ru 0.305 0.457 0.065 0.124 0.067 0.550 0.283 0.236 0.672 0.000
45-Rh 0.318 0.459 0.065 0.115 0.069 0.557 0.275 0.232 0.678 0.000
46-Pd 0.331 0.460 0.065 0.106 0.071 0.564 0.267 0.227 0.684 0.000
47-Ag 0.343 0.461 0.065 0.097 0.073 0.570 0.258 0.223 0.689 0.000
48-Cd 0.334 0.466 0.066 0.098 0.054 0.581 0.256 0.220 0.686 0.000
49-In 0.325 0.470 0.067 0.100 0.035 0.592 0.254 0.216 0.682 0.000
50-Sn 0.315 0.475 0.067 0.101 0.016 0.604 0.252 0.213 0.678 0.000
51-Sb 0.296 0.483 0.071 0.106 0.020 0.606 0.248 0.211 0.681 0.000
52-Te 0.277 0.490 0.074 0.111 0.023 0.608 0.244 0.209 0.683 0.000
53-I  0.258 0.498 0.078 0.117 0.027 0.610 0.238 0.208 0.686 0.000
54-Xe 0.238 0.505 0.081 0.122 0.031 0.612 0.233 0.206 0.688 0.000
55-Cs 0.224 0.505 0.085 0.128 0.032 0.594 0.249 0.204 0.685 0.000
56-Ba 0.210 0.506 0.089 0.134 0.033 0.576 0.265 0.201 0.681 0.000
57-La 0.195 0.506 0.094 0.140 0.034 0.557 0.282 0.198 0.678 0.000
58-Ce 0.209 0.500 0.093 0.136 0.041 0.586 0.245 0.190 0.689 0.000
59-Pr 0.223 0.494 0.092 0.132 0.049 0.615 0.208 0.182 0.700 0.000
60-Nd 0.236 0.489 0.092 0.128 0.057 0.644 0.172 0.174 0.712 0.267
61-Pm 0.270 0.487 0.085 0.119 0.059 0.603 0.160 0.171 0.714 0.301
62-Sm 0.304 0.486 0.078 0.110 0.060 0.559 0.148 0.168 0.717 0.335
63-Eu 0.338 0.485 0.070 0.100 0.062 0.514 0.137 0.165 0.720 0.369
64-Gd 0.320 0.495 0.068 0.098 0.073 0.552 0.133 0.160 0.728 0.378
65-Tb 0.302 0.506 0.066 0.095 0.084 0.591 0.129 0.155 0.736 0.388
66-Dy 0.284 0.516 0.063 0.093 0.095 0.629 0.124 0.150 0.743 0.398 
67-Ho 0.266 0.527 0.061 0.090 0.106 0.667 0.120 0.145 0.751 0.408
68-Er 0.268 0.526 0.059 0.090 0.109 0.671 0.115 0.144 0.754 0.431
69-Tm 0.270 0.525 0.058 0.090 0.113 0.675 0.110 0.143 0.758 0.454
70-Yb 0.272 0.525 0.056 0.091 0.116 0.680 0.105 0.141 0.761 0.479
71-Lu 0.247 0.537 0.059 0.099 0.115 0.678 0.105 0.121 0.779 0.456
72-Hf 0.222 0.549 0.062 0.107 0.115 0.676 0.106 0.101 0.795 0.433
73-Ta 0.197 0.561 0.065 0.115 0.114 0.674 0.106 0.082 0.810 0.411
74-W  0.185 0.572 0.066 0.113 0.112 0.677 0.103 0.090 0.795 0.413
75-Re 0.173 0.583 0.066 0.111 0.110 0.680 0.100 0.098 0.780 0.415
76-Os 0.161 0.594 0.067 0.109 0.107 0.684 0.098 0.106 0.764 0.418
77-Ir 0.157 0.594 0.067 0.110 0.109 0.680 0.097 0.108 0.770 0.294
78-Pt 0.152 0.594 0.067 0.111 0.112 0.676 0.096 0.111 0.776 0.170
79-Au 0.148 0.594 0.067 0.112 0.114 0.673 0.095 0.114 0.782 0.046
80-Hg 0.139 0.608 0.066 0.108 0.111 0.670 0.092 0.109 0.774 0.043
81-Tl 0.129 0.622 0.066 0.104 0.108 0.667 0.089 0.104 0.766 0.041
82-Pb 0.119 0.636 0.065 0.099 0.105 0.665 0.086 0.099 0.758 0.038
83-Bi 0.109 0.650 0.065 0.095 0.103 0.662 0.083 0.094 0.750 0.035
84-Po 0.120 0.631 0.066 0.096 0.111 0.645 0.086 0.087 0.756 0.045
85-At 0.131 0.612 0.067 0.098 0.120 0.628 0.089 0.080 0.762 0.055
