12-Mg 0.32  0.64 0.0
13-Al 0.32 0.64 0.00
14-Si 0.32 0.64 0.00
15-P 0.32 0.63 0.00
16-S 0.32 0.62 0.00
17-Cl 0.32 0.62 0.00
18-Ar 0.31 0.62 0.00
19-K 0.31 0.62 0.00
20-Ca 0.31 0.61 0.00
21-Sc 0.31 0.60 0.00
22-Ti 0.31 0.59 0.00
23-V 0.31 0.58 0.00
24-Cr 0.31 0.57 0.00
25-Mn 0.30 0.58 0.00
26-Fe 0.30 0.57 0.00
27-Co 0.30 0.56 0.00
28-Ni 0.30 0.55 0.028
29-Cu 0.30 0.54 0.028
30-Zn 0.29 0.54 0.026
31-Ga 0.29 0.53 0.032
32-Ge 0.28 0.53 0.050
33-As 0.28 0.53 0.063
34-Se 0.28 0.52 0.076
35-Br 0.28 0.52 0.088
36-Kr 0.27 0.52 0.100
37-Rb 0.27 0.52 0.109
38-Sr 0.27 0.52 0.117
39-Y 0.26 0.52 0.126
40-Zr 0.26 0.52 0.132
41-Nb 0.10 0.61 0.137
42-Mo 0.10 0.61 0.141
43-Tc 0.10 0.61 0.144
44-Ru 0.10 0.61 0.148
45-Rh 0.10 0.60 0.150
46-Pd 0.10 0.60 0.151
47-Ag 0.10 0.59 0.153
48-Cd 0.10 0.59 0.155
49-In 0.10 0.59 0.157
50-Sn 0.17 0.27 0.157
51-Sb 0.17 0.28 0.156
52-Te 0.18 0.28 0.155
53-I 0.18 0.28 0.154
54-Xe 0.19 0.28 0.154
55-Cs 0.19 0.28 0.154
56-Ba 0.19 0.28 0.153
57-La 0.19 0.29 0.153
58-Ce 0.19 0.29 0.153
59-Pb 0.19 0.29 0.153
60-Nd 0.19 0.30 0.152
61-Pm 0.19 0.30 0.151
62-Sm 0.19 0.30 0.150
63-Eu 0.19 0.30 0.149
64-Gd 0.19 0.30 0.149
65-Tb 0.19 0.30 0.145
66-Dy 0.19 0.30 0.143
67-Ho 0.19 0.30 0.142
68-Er 0.19 0.30 0.140
69-Tm 0.19 0.29 0.139
70-Yb 0.19 0.29 0.138
71-Lu 0.19 0.28 0.136
72-Hf 0.18 0.28 0.135
73-Ta 0.18 0.28 0.134
74-W 0.17 0.28 0.133
75-Re 0.16 0.33 0.130
76-Os 0.16 0.39 0.128
77-Ir 0.15 0.45 0.126
78-Pt 0.14 0.50 0.124
79-Au 0.14 0.53 0.122
80-Hg 0.13 0.56 0.120
81-Tl 0.13 0.57 0.118
82-Pb 0.12 0.58 0.116
83-Bi 0.11 0.58 0.113
84-Po 0.11 0.58 0.111
85-At 0.10 0.59 0.111
86-Rn 0.10 0.58 0.110
87-Fr 0.10 0.58 0.109
88-Ra 0.09 0.58 0.108
89-Ac 0.09 0.58 0.108
90-Th 0.09 0.57 0.108
91-Pa 0.08 0.58 0.139
92-U 0.08 0.57 0.167
93-Np 0.07 0.57 0.192
94-Pu 0.05 0.56 0.198
95-Am 0.05 0.55 0.203
96-Cm 0.04 0.55 0.200
97-Bk 0.04 0.54 0.198
98-Cf 0.03 0.54 0.197
99-Es 0.03 0.54 0.196
100-Fm 0.03 0.53 0.194
101-Md 0.02 0.53 0.191
102-No 0.02 0.52 0.189
103-Lr 0.01 0.53 0.185
104- 0.01 0.52 0.181
105- 0.01 0.51 0.178
106- 0.00 0.51 0.174
107- 0.00 0.50 0.171
108- 0.00 0.50 0.165
109- 0.00 0.49 0.163
110- 0.00 0.48 0.158
