 16-S - -         - -         - -       -     -        - -        - -  83.400 83.400
 17-Cl - -         - -         - -       -     -        - -        - -  67.840 67.250
 18-Ar - -         - -         - -       -     -        - -        - -  56.212 56.813
 19-K - -         - -         - -       -     -        - -        - -  47.835 47.325
 20-Ca 36.393  36.393 36.022  -         -     -       -     -        -      -        -      -  41.042 40.542
 21-Sc 31.393  31.393 31.072 -         - -       -     -        - -        - -  35.671 35.200
 22-Ti 27.445  27.445 27.074 -         - -       -     -        - -        - -  31.423 30.942
 23-V 24.309  24.309 23.898 -      21.890  21.890   -     -        -      -        -      -  27.826 27.375
 24-Cr 21.713  21.713 21.323 -      19.429  19.429   -     -        - -        - -  24.840 24.339
 25-Mn 19.489  19.489 19.158 -      17.575  17.575   -     -        - -        - -  22.315 21.864
 26-Fe 17.602 17.602  17.290 -      15.710  15.710   -     -        -      -        -      -  20.201 19.730
 27-Co 16.000 16.000  15.698 -      14.240  14.240   -     -        -      -        -      -  18.358 17.860
 28-Ni 14.595 14.595  14.308 -      13.146  13.146   -     -        -      -        -      -  16.693 16.304
 29-Cu 13.357 13.357  13.079 -      12.115  12.115   -     -        -      -        -      -  15.297 14.940
 30-Zn 12.282 12.282  12.009 -      11.185  11.185   -     -        -      -        -      -  14.081 13.719
 31-Ga 11.313 11.313  11.045 -      10.365  10.365   -     -        - -        -      -  12.976 12.620
 32-Ge 10.456 10.456  10.194 -       9.580   9.640   -     -        -      -        -      -  11.944 11.608
 33-As  9.671  9.671   9.414 - 8.930   8.930   -     -        -      -        -      -  11.069 10.732
 34-Se  8.990  8.990   8.735 - 8.321   8.321   -     -        -      -        -      -  10.293  9.959
 35-Br  8.375   8.375   8.126 - 7.767   7.767   -     -        -      -        -      -   9.583  9.253
 36-Kr  7.817  7.817   7.576 -       7.264   7.304   -     -        -      -        -      -   8.946  8.626
 37-Rb 7.318 7.325 7.075 - 6.788 6.821 -     -    6.045    6.045      -      -   8.363 8.042
 38-Sr 6.863 6.870 6.623 - 6.367 6.403 -     -    5.644    5.644      -      -   7.836 7.517
 39-Y 6.449 6.456 6.211 - 5.983 6.018 -     -    5.283    5.283      -      -   7.356 7.040
