 35-Br - -          - - 192.6 191.1    -
 36-Kr - -          - - - -        -
 37-Rb - -          - - 128.7 127.7    -
 38-Sr - -          - - 108.7 108.0    -
 39-Y - -          - -       93.400 93.400   -
 40-Zr - -          - 38.390  82.100 82.100 37.000
 41-Nb - -          - 34.900  72.190 72.190 33.100
 42-Mo - -          - 32.700  64.380 64.380 31.400
 43-Tc - -          - 30.100  59.500 59.500 28.800
 44-Ru - -          - 26.900  52.340 52.340 25.500
 45-Rh - -          - 25.010  47.670 47.670 24.450
 46-Pd - -          - 23.300  43.600 43.600 22.100
 47-Ag - -          - 21.820  39.770 39.770 20.660
 48-Cd - -          - 20.470  36.800 36.800 19.400
 49-In - -          - 19.210  33.200 33.200 18.240
 50-Sn - -          - 17.940  31.240  31.240 16.930
 51-Sb - -          - 16.920  28.880 28.880 15.980
 52-Te - -          - 15.930  26.720 26.720 15.020
 53-1 - -          - 15.010  24.650 24.650 14.150
 54-Xe - -          - 14.180  23.020 23.020 13.310
 55-Cs - -          - 13.420  21.690 21.690 12.580
 56-Ba - -          - 12.750  20.640 20.640 11.890
 57-La 14.880  14.880 14.510 12.080  19.440 19.440 11.280
 58-Ce 14.040 14.040  13.750 11.530  18.350 18.350 10.690
 59-Pr 13.343 13.343  13.060 10.998  17.380 17.380 10.180
 60-Nd 12.680 12.680  12.440 10.505  16.460 16.460 9.700
 61-Pm -  -    -    10.050  15.680 15.680 9.260
 62-Sm 11.470 11.470  11.270 9.600   14.910 14.910 8.840
 63-Eu 10.960 10.960  10.750 9.211   14.220 14.220 8.450
 64-Gd 10.460 10.460  10.254 8.844 13.570 13.570  8.120
 65-Tb 10.000 10.000   9.792 8.486 12.980 12.980  7.740
 66-Dy 9.590 9.590    9.357 8.144 12.430 12.430  7.460
 67-Ho 9.200 9.2000   8.965 7.865 11.860 11.860  7.160
 68-Er 8.820 8.820    8.592 7.546 11.370 11.370  6.860
 69-Tm 8.480 8.480    8.249 7.318 10.920 10.920  6.540
 70-Yb 8.149 8.149    7.909 7.024 10.480 10.480  6.270
 71-Lu 7.840 7.840    7.601 6.768 10.060 10.060  6.020
 72-Hf 7.539 7.539    7.303 6.544 9.686  9.686  5.770
 73-Ta 7.252 7.252    7.023 6.312 9.316  9.330  5.570
 74-W 6.983 6.992 6.757 6.092 8.962 8.993 5.357
 75-Re 6.729 6.729 6.504 5.885 8.629 8.664 5.150
 76-Os 6.490 6.490 6.267 5.682 8.310 8.359 4.955
 77-Ir 6.262 6.275 6.038 5.500 8.021 8.065 4.780
 78-Pt 6.047 6.058 5.828 5.319 7.738 7.790 4.601
 79-Au 5.840 5.854 5.624 5.145 7.466 7.523 4.432
 80-Hg 5.648 5.677 5.432 4.984 7.232 7.250 4.266
 81-Ti 5.460 5.472 5.249 4.823 6.974 7.032 4.116
 82-Pb 5.286 5.299 5.076 4.674 6.740 6.802 3.968
 83-Bi 5.118 5.130 4.909 4.532 6.521 6.585 3.834
 84-Po 4.955 4.958 4.736 4.361 6.290 6.349 3.680
 85-At 4.802 4.802 4.581 4.234 6.096 6.156 3.559
 86-Rn 4.655 4.657 4.436 4.124 5.911 5.971 3.448
 87-Fr 4.515 4.521 4.303 4.008 5.737 5.801 3.322
 88-Ra 4.383 4.392 4.178 3.892 5.579 5.642 3.220
 89-Ac 4.256 4.270 4.060 3.798 5.389 5.489 3.118
 90-Th 4.138 4.151 3.941 3.679 5.245 5.340 3.011
 91-Pa 4.022 4.035 3.827 3.577 5.092 5.193 2.910
 92-U 3.910 3.924 3.716 3.479 4.946 5.050 2.817
